acceptingOrders,acceptingOrdersTimestamp,active,approved,archived,automaticallyActive,automaticallyResolved,bestAsk,bestBid,category,categoryMailchimpTag,clearBookOnStart,clobRewards,clobTokenIds,closed,closedTime,commentsEnabled,competitive,conditionId,createdAt,createdBy,creator,customLiveness,cyom,denominationToken,deploying,deployingTimestamp,description,disqusThread,enableOrderBook,endDate,endDateIso,eventStartTime,event_id,event_slug,event_title,featured,fee,feesEnabled,formatType,fpmmLive,funded,gameId,gameStartTime,groupItemRange,groupItemThreshold,groupItemTitle,hasReviewedDates,holdingRewardsEnabled,icon,id,image,lastTradePrice,line,liquidity,liquidityAmm,liquidityClob,liquidityNum,lowerBound,mailchimpTag,makerBaseFee,manualActivation,marketGroup,marketMakerAddress,marketType,negRisk,negRiskMarketID,negRiskOther,negRiskRequestID,new,notificationsEnabled,oneDayPriceChange,oneHourPriceChange,oneMonthPriceChange,oneWeekPriceChange,oneYearPriceChange,orderMinSize,orderPriceMinTickSize,outcomePrices,outcomes,pagerDutyNotificationEnabled,pendingDeployment,question,questionID,ready,readyForCron,resolutionSource,resolvedBy,restricted,rewardsMaxSpread,rewardsMinSize,rfqEnabled,secondsDelay,sentDiscord,seriesColor,showGmpOutcome,showGmpSeries,slug,sponsorImage,sportsMarketType,spread,startDate,startDateIso,subcategory,submitted_by,takerBaseFee,teamAID,teamBID,twitterCardImage,twitterCardLastRefreshed,twitterCardLastValidated,twitterCardLocation,umaBond,umaEndDate,umaEndDateIso,umaResolutionStatus,umaResolutionStatuses,umaReward,updatedAt,updatedBy,upperBound,volume,volume1mo,volume1moAmm,volume1moClob,volume1wk,volume1wkAmm,volume1wkClob,volume1yr,volume1yrAmm,volume1yrClob,volume24hr,volume24hrAmm,volume24hrClob,volumeAmm,volumeClob,volumeNum,wideFormat,p_yes,p_no,probability_bias,topic,quality_score
True,,True,True,False,,,1.0,0.0,,,True,,"[""17723060028706211434353196815974529233235154894595948093265217171930153234260"", ""26400117543484880700130942868300127790393765134075052362268938911755192192999""]",True,2024-01-11 01:01:35+00,False,0.0,0x2073651de484121bddaf813852fef10999f1ed861576d6e82ff4c7f0328d1429,2024-01-08T18:19:39.74Z,,,0.0,False,,False,,"This market will resolve to ""Yes"" if the SEC makes a decision to approve the first spot Bitcoin ETF on January 10, 2024, ET. Otherwise, this market will resolve to ""No"".

If the SEC approves the first spot Bitcoin ETF before this date, this market will resolve to ""No"" immediately.

The primary resolution source for this market will be information from the SEC.",,True,2024-01-10T00:00:00Z,2024-01-10,,903205,when-will-bitcoin-etf-be-approved,When will Bitcoin ETF be approved?,False,2e+16,False,,True,False,,,,3.0,Wednesday,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/btcetf.jpeg,253657,https://polymarket-upload.s3.us-east-2.amazonaws.com/btcetf.jpeg,0.0,,279370.95076000004,0.0,0.0,279370.95,,,0.0,False,,,normal,True,0x48819009b63cf9ca8f88e52de1a8148aab797f4868207d7dfc523f3cf7811700,False,0x48a73b7185fc3f10de12caa01dbd99eafae79152ba4d34f64c5613345acc60a3,False,True,0.0,0.0,0.0,0.0,0.0,5.0,0.001,"[""1"", ""0""]","[""Yes"", ""No""]",False,False,SEC approves first spot Bitcoin ETF on Jan 10?,0x48819009b63cf9ca8f88e52de1a8148aab797f4868207d7dfc523f3cf7811702,False,,,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,0.0,0,False,0.0,,,,,sec-approves-first-spot-bitcoin-etf-on-jan-10,,,1.0,2024-01-08T19:15:56.782Z,2024-01-08,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,0.0,,,,,,,500.0,,,proposed,[],5.0,2024-01-12T01:05:17.827Z,15.0,,957594.506135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957594.51,957594.51,False,1.000000,0.000000,0.500000,Crypto,3.600000
True,,True,True,False,,,1.0,0.0,,,True,,"[""114042745012208994033195477433658191881210330974316537349497459343714009765784"", ""75450732862362838550529568166912388437572658662222534365826246642685796916818""]",True,2024-03-05 03:48:52+00,False,0.0,0x4d293ab1b2f7b68c0eb7106e827f9210e54ebf007de7b15c6216ebc0eb95de42,2024-01-18T17:56:02.005Z,,,0.0,False,,False,,"This is a market on how much 'Dune: Part Two' (2024) will gross domestically on its opening weekend. The “Domestic Weekend” tab on https://www.boxofficemojo.com/title/tt15239678/ will be used to resolve this market once the values for the 3-day opening weekend (March 1 - March 3) are final (i.e. not studio estimates).

This market will resolve to ""Yes"" if ‘Dune: Part Two' (2024) grosses less than $70,000,000 on its 3-day opening weekend. Otherwise, this market will resolve to ""No"".

Please note, this market will resolve according to the Box Office Mojo numbers under Domestic Weekend for the 3-day weekend (which typically includes Thursday's previews), regardless of whether domestic refers to only the USA, or to USA and Canada, etc.

If there is no final data available by March 7, 2024, 11:59 PM ET, another credible resolution source will be chosen.",,True,2024-03-01T00:00:00Z,2024-03-01,,903285,dune-part-two-opening-weekend-box-office,'Dune: Part Two' Opening Weekend Box Office,False,2e+16,False,,True,False,,,,1.0,<$70m,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/dune+part+two.png,253986,https://polymarket-upload.s3.us-east-2.amazonaws.com/dune+part+two.png,0.0,,110011.52974,0.0,0.0,110011.53,,,0.0,False,,,normal,True,0x5e596465dca57c10c8b175f901974e2de2877498410b0210d0a21b57e14da000,False,0xaea8da12e7a669fef523dd6d9ea740d1ccc885b1413e0985c9ae6b5b779ee241,False,True,0.0,0.0,0.0,0.0,0.0,5.0,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",False,False,Will 'Dune: Part Two' gross under $70m opening weekend?,0x5e596465dca57c10c8b175f901974e2de2877498410b0210d0a21b57e14da000,False,,https://www.boxofficemojo.com/title/tt15239678/,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,0.0,0,False,0.0,,,,,will-dune-part-two-gross-under-70m-opening-weekend,,,1.0,2024-01-18T19:30:00Z,,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,0.0,,,,,,,500.0,,,proposed,[],5.0,2024-03-06T00:50:11.547Z,,,196971.507771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196971.51,196971.51,False,0.000000,1.000000,0.500000,Crypto,3.581829
True,,True,True,False,,,1.0,0.0,,,True,,"[""106622985971924468891381298215613385312819814944379028242090479771411821772830"", ""18627572673945212218239785406480558302395955537664691160878562939051834182649""]",True,2024-03-05 03:48:48+00,False,0.0,0x1a4a25d45ef3a9e7d897579e6f85bc9296c2c94d99b50ca3640a325197f7785d,2024-01-18T17:56:02.061Z,,,0.0,False,,False,,"This is a market on how much 'Dune: Part Two' (2024) will gross domestically on its opening weekend. The “Domestic Weekend” tab on https://www.boxofficemojo.com/title/tt15239678/ will be used to resolve this market once the values for the 3-day opening weekend (March 1 - March 3) are final (i.e. not studio estimates).

This market will resolve to ""Yes"" if ‘Dune: Part Two' (2024) grosses between $70,000,000 (inclusive) and $80,000,000 (exclusive) on its 3-day opening weekend. Otherwise, this market will resolve to ""No"".

Please note, this market will resolve according to the Box Office Mojo numbers under Domestic Weekend for the 3-day weekend (which typically includes Thursday's previews), regardless of whether domestic refers to only the USA, or to USA and Canada, etc.

If there is no final data available by March 7, 2024, 11:59 PM ET, another credible resolution source will be chosen.",,True,2024-03-01T00:00:00Z,2024-03-01,,903285,dune-part-two-opening-weekend-box-office,'Dune: Part Two' Opening Weekend Box Office,False,2e+16,False,,True,False,,,,2.0,$70m-80m,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/dune+part+two.png,253987,https://polymarket-upload.s3.us-east-2.amazonaws.com/dune+part+two.png,0.0,,123793.3553,0.0,0.0,123793.36,,,0.0,False,,,normal,True,0x5e596465dca57c10c8b175f901974e2de2877498410b0210d0a21b57e14da000,False,0xcbdeff6c4e040e4571199cecf980d71650a7e921539868b9ccff230d6bbadd3c,False,True,0.0,0.0,0.0,0.0,0.0,5.0,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",False,False,Will 'Dune: Part Two' gross between $70m-80m opening weekend?,0x5e596465dca57c10c8b175f901974e2de2877498410b0210d0a21b57e14da001,False,,https://www.boxofficemojo.com/title/tt15239678/,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,0.0,0,False,0.0,,,,,will-dune-part-two-gross-between-70m-80m-opening-weekend,,,1.0,2024-01-18T19:30:00Z,,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,0.0,,,,,,,500.0,,,proposed,[],5.0,2024-03-06T00:26:15.063Z,,,151219.431993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151219.43,151219.43,False,0.000000,1.000000,0.500000,Crypto,3.307317
True,,True,True,False,,,1.0,0.0,,,True,,"[""23227039880009735168368797727475823955309076994648267727149759621050923422732"", ""67939953118974073550160662689782863107740457088958528830240732823289687391585""]",True,2024-01-20 09:45:12+00,False,0.0,0xf1c1fcc3efe839e5a022574c0263cb967ee3355f6b58edbca596958a8919343a,2024-01-10T22:21:10.799Z,,,0.0,False,,False,,"This market will resolve to ""Yes"" if the combined AUM of all bitcoin spot ETFs as of end of day Jan 19, 2024 ET is under $10 billion. Otherwise this market will resolve to ""No.""

This market's resolution source will be a consensus of credible sources. This market may stay open until figures are known.",,True,2024-01-19T00:00:00Z,2024-01-19,,903230,bitcoin-etfs-first-week-combined-aum,Bitcoin ETFs first week combined AUM,False,2e+16,False,,True,False,,,,1.0,<$10b,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/btc+etf+img.png,253778,https://polymarket-upload.s3.us-east-2.amazonaws.com/btc+etf+img.png,0.0,,34428.634,0.0,0.0,34428.63,,,0.0,False,,,normal,True,0xea795ebc33b30185f3bf95f194afa970ae7aea64ea288ff636776b17ddf7b900,False,0x820e7712588e2b9cfca6bcd97c1777a5a2235ed78055db872e266a9e99246efe,False,True,0.0,0.0,0.0,0.0,0.0,5.0,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",False,False,BTC ETFs first week combined AUM under $10 billion?,0xea795ebc33b30185f3bf95f194afa970ae7aea64ea288ff636776b17ddf7b900,False,,,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,0.0,0,False,0.0,,,,,btc-etfs-first-week-combined-aum-under-10-billion,,,1.0,2024-01-11T01:14:25.448Z,2024-01-11,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,0.0,,,,,,,500.0,,,proposed,[],5.0,2024-01-21T06:13:21.595Z,15.0,,604171.528768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604171.53,604171.53,False,0.000000,1.000000,0.500000,Crypto,3.288573
True,,True,True,False,,,1.0,0.0,,,True,,"[""30637845681714148498359907433169105263223689440526909041094893305583115580796"", ""111796127100720291855951404495290728144208289103084969375425640210971192620108""]",True,2024-03-05 04:02:26+00,False,0.0,0x2cf06bc2611641b8d3bd72a00c368e243b0495f144035a3db03b888dda89f74f,2024-01-18T18:00:43.08Z,,,0.0,False,,False,,"This is a market on how much 'Dune: Part Two' (2024) will gross domestically on its opening weekend. The “Domestic Weekend” tab on https://www.boxofficemojo.com/title/tt15239678/ will be used to resolve this market once the values for the 3-day opening weekend (March 1 - March 3) are final (i.e. not studio estimates).

This market will resolve to ""Yes"" if ‘Dune: Part Two' (2024) grosses more than $100,000,000 on its 3-day opening weekend. Otherwise, this market will resolve to ""No"".

Please note, this market will resolve according to the Box Office Mojo numbers under Domestic Weekend for the 3-day weekend (which typically includes Thursday's previews), regardless of whether domestic refers to only the USA, or to USA and Canada, etc.

If there is no final data available by March 7, 2024, 11:59 PM ET, another credible resolution source will be chosen.",,True,2024-03-01T00:00:00Z,2024-03-01,,903285,dune-part-two-opening-weekend-box-office,'Dune: Part Two' Opening Weekend Box Office,False,2e+16,False,,True,False,,,,5.0,>$100m,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/dune+part+two.png,253990,https://polymarket-upload.s3.us-east-2.amazonaws.com/dune+part+two.png,0.0,,34308.32046,0.0,0.0,34308.32,,,0.0,False,,,normal,True,0x5e596465dca57c10c8b175f901974e2de2877498410b0210d0a21b57e14da000,False,0x55488e18a731a75851e5a8d780d95f5b4c86ba406eebd1998f9515c4e8396fb7,False,True,0.0,0.0,0.0,0.0,0.0,5.0,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",False,False,Will 'Dune: Part Two' gross over $100m opening weekend?,0x5e596465dca57c10c8b175f901974e2de2877498410b0210d0a21b57e14da004,False,,https://www.boxofficemojo.com/title/tt15239678/,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,0.0,0,False,0.0,,,,,will-dune-part-two-gross-over-100m-opening-weekend,,,1.0,2024-01-18T19:31:00Z,2024-01-18,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,0.0,,,,,,,500.0,,,proposed,[],5.0,2024-03-05T23:34:13.554Z,,,474792.372708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474792.37,474792.37,False,0.000000,1.000000,0.500000,Crypto,3.286166
True,,True,True,False,,,1.0,0.0,,,True,,"[""91746004869662235666334796486262981828588651729447977756656169138950191488450"", ""69380601787981064008717988847843866359435247603035572738118386018360446222708""]",True,2024-01-20 11:00:56+00,False,0.0,0x9fe78759b4412e42a81e2ada75a35360d14938eb84600eb7dbd7e6f14ddbb19f,2024-01-10T22:21:10.856Z,,,0.0,False,,False,,"This market will resolve to ""Yes"" if the combined AUM of all bitcoin spot ETFs as of end of day Jan 19, 2024 ET is over $60 billion. Otherwise this market will resolve to ""No.""

This market's resolution source will be a consensus of credible sources. This market may stay open until figures are known.",,True,2024-01-19T00:00:00Z,2024-01-19,,903230,bitcoin-etfs-first-week-combined-aum,Bitcoin ETFs first week combined AUM,False,2e+16,False,,True,False,,,,4.0,>$60b,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/btc+etf+img.png,253783,https://polymarket-upload.s3.us-east-2.amazonaws.com/btc+etf+img.png,0.0,,44414.2403,0.0,0.0,44414.24,,,0.0,False,,,normal,True,0xea795ebc33b30185f3bf95f194afa970ae7aea64ea288ff636776b17ddf7b900,False,0x304b1374c6e51aa2d219a5a8f9306fdd20dc5ddff9e475acd4346937c8da5821,False,True,0.0,0.0,0.0,0.0,0.0,5.0,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",False,False,BTC ETFs first week combined AUM over $60 billion?,0xea795ebc33b30185f3bf95f194afa970ae7aea64ea288ff636776b17ddf7b903,False,,,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,0.0,0,False,0.0,,,,,btc-etfs-first-week-combined-aum-over-60-billion,,,1.0,2024-01-11T01:15:10.791Z,2024-01-11,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,0.0,,,,,,,500.0,,,proposed,[],5.0,2024-01-21T01:49:23.092Z,15.0,,154511.208714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154511.21,154511.21,False,0.000000,1.000000,0.500000,Crypto,3.215352
,,True,True,False,,,1.0,0.0,Crypto,,True,,"[""13250892151567701679597833829468262038400877934058769933834608828852808374533"", ""73402214620547295487488372517101883209285001601657877198625146269661752204607""]",True,2021-06-15 16:50:18+00,,0.0,0xc0c4ece61b1f7ec62d9412dbb8e938a7df42a5564c7783ed9b670d77de40d6e2,2021-04-16T15:45:02.615Z,,,,False,,False,,"This is a market on whether the USD price of Dogecoin ($DOGE) will reach $1.00 at any point before June 15, 2021, 12 PM ET. This market will resolve to ""Yes"" whenever the USD price of $DOGE is at or above $1.00 according to Coingecko (https://www.coingecko.com/en/coins/dogecoin), and if that condition is not met by the resolution date, it will resolve to ""No"". In the event of ambiguity in terms of the market outcome, the market will be resolved in good faith at the sole discretion of the Markets Integrity Committee (MIC).",,,2021-06-15T00:00:00Z,2021-06-15,,4181,will-doge-reach-1-at-any-point-before-june-15-2021,"Will $DOGE reach $1 at any point before June 15, 2021?",False,2e+16,False,,True,False,,,,,,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-doge-reach-1-at-any-point-before-june-15-2021-3114facd-7549-4139-b75a-ea5aa50b1bf2.png,132021,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-doge-reach-1-at-any-point-before-june-15-2021-3114facd-7549-4139-b75a-ea5aa50b1bf2.png,0.0,,63818.758468,63818.76,,63818.76,,3359215.0,,False,,0x73D852eBe31ec9A4081DD65FB78c45d4b645Ea3c,normal,,,False,,False,,0.0,0.0,0.0,0.0,0.0,,,"[""0.00000008129370252667137014897329209031924"", ""0.9999999187062974733286298510267079""]","[""Yes"", ""No""]",False,False,"Will $DOGE reach $1 at any point before June 15, 2021?",,False,True,https://www.coingecko.com/en/coins/dogecoin,,False,0.0,0,False,,False,,,,will-doge-reach-1-at-any-point-before-june-15-2021,,,1.0,,,,,,,,,,,,,,,,[],,2024-04-25T00:15:42.253849Z,3.0,,1050066.825323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1050066.83,False,0.000000,1.000000,0.500000,Crypto,3.200000
True,,True,True,False,,,1.0,0.0,,,True,,"[""75612479200078616076720255471706622234694562979383690821267829219771373620706"", ""113393267638254679335215590834819649712682910854405091959199897073575459419445""]",True,2024-03-05 04:01:18+00,False,0.0,0x2ccdc78547b47a146b116c5f3b626cc5ef4c9e8d571ec83a54bff3f3ef1f476b,2024-01-18T18:00:06.123Z,,,0.0,False,,False,,"This is a market on how much 'Dune: Part Two' (2024) will gross domestically on its opening weekend. The “Domestic Weekend” tab on https://www.boxofficemojo.com/title/tt15239678/ will be used to resolve this market once the values for the 3-day opening weekend (March 1 - March 3) are final (i.e. not studio estimates).

This market will resolve to ""Yes"" if ‘Dune: Part Two' (2024) grosses between $90,000,000 (inclusive) and $100,000,000 (inclusive) on its 3-day opening weekend. Otherwise, this market will resolve to ""No"".

Please note, this market will resolve according to the Box Office Mojo numbers under Domestic Weekend for the 3-day weekend (which typically includes Thursday's previews), regardless of whether domestic refers to only the USA, or to USA and Canada, etc.

If there is no final data available by March 7, 2024, 11:59 PM ET, another credible resolution source will be chosen.",,True,2024-03-01T00:00:00Z,2024-03-01,,903285,dune-part-two-opening-weekend-box-office,'Dune: Part Two' Opening Weekend Box Office,False,2e+16,False,,True,False,,,,4.0,$90m-100m,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/dune+part+two.png,253989,https://polymarket-upload.s3.us-east-2.amazonaws.com/dune+part+two.png,0.0,,18253.45,0.0,0.0,18253.45,,,0.0,False,,,normal,True,0x5e596465dca57c10c8b175f901974e2de2877498410b0210d0a21b57e14da000,False,0xccf02babd269369beb1f396d8ea45f1b5420727f3174ea4c5e63bbaae06becd6,False,True,0.0,0.0,0.0,0.0,0.0,5.0,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",False,False,Will 'Dune: Part Two' gross between $90m-100m opening weekend?,0x5e596465dca57c10c8b175f901974e2de2877498410b0210d0a21b57e14da003,False,,https://www.boxofficemojo.com/title/tt15239678/,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,0.0,0,False,0.0,,,,,will-dune-part-two-gross-between-90m-100m-opening-weekend,,,1.0,2024-01-18T19:30:00Z,,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,0.0,,,,,,,500.0,,,proposed,[],5.0,2024-03-06T00:38:13.515Z,,,376596.011303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376596.01,376596.01,False,0.000000,1.000000,0.500000,Crypto,2.965069
True,,True,True,False,,,1.0,0.0,,,True,,"[""17215083304929153271500177791059585658696184702468683764206974446986737932399"", ""32274095059888698872520380212671628692281968667108872748790322736046732312167""]",True,2024-01-11 01:01:43+00,False,0.0,0x197e52016126cccca59fd9f30ec9bbaf4e74627b2c6ff9e442898396bd19fca1,2024-01-08T18:19:39.742Z,,,0.0,False,,False,,"This market will resolve to ""Yes"" if the SEC does not make a decision to approve the first spot Bitcoin ETF on the dates of January 8-10, 2024 ET. Otherwise, this market will resolve to ""No.""

If the SEC approves the first spot Bitcoin ETF on January 8-10, ET this market will resolve to ""No"" immediately.

The primary resolution source for this market will be information from the SEC.",,True,2024-01-10T00:00:00Z,2024-01-10,,903205,when-will-bitcoin-etf-be-approved,When will Bitcoin ETF be approved?,False,2e+16,False,,True,False,,,,4.0,None of the above,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/btcetf.jpeg,253658,https://polymarket-upload.s3.us-east-2.amazonaws.com/btcetf.jpeg,0.0,,34667.94995,0.0,0.0,34667.95,,,0.0,False,,,normal,True,0x48819009b63cf9ca8f88e52de1a8148aab797f4868207d7dfc523f3cf7811700,False,0x9b5824a5b5b89f5003b4750fe4efb38c7d3bcc72b301f022184d3da4f4d808dc,False,True,0.0,0.0,0.0,0.0,0.0,5.0,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",False,False,SEC to NOT approve spot Bitcoin ETF by Jan 10?,0x48819009b63cf9ca8f88e52de1a8148aab797f4868207d7dfc523f3cf7811703,False,,,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,0.0,0,False,0.0,,,,,sec-to-not-approve-spot-bitcoin-etf-by-jan-10,,,1.0,2024-01-08T19:16:15.161Z,2024-01-08,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,0.0,,,,,,,500.0,,,proposed,[],5.0,2024-01-12T01:09:16.32Z,15.0,,121228.220101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121228.22,121228.22,False,0.000000,1.000000,0.500000,Crypto,2.820728
True,,True,True,False,,,1.0,0.0,,,True,,"[""106343662801532840065495108931975928569914489438808442717720682504606839818911"", ""53891173459714932340589238899034777225026051469786390436503793346625014573282""]",True,2024-02-01 19:46:12+00,False,0.0,0xa7aaf1cac60148943bd98e22a739f05cfa251cf75a12744df09c62abb88e71ea,2024-01-30T19:54:14.095Z,,,0.0,False,,False,,"Bulletin Board Update (12 PM ET): As of Jan 31, 12 PM ET, Binance is the most liquid price source for JUP, and thus will be used as the resolution source for this market. Specifically the close price of the 1 minute candle titled 1 Feb ’24 10:00 in the ET timezone will be used.

This market will resolve to ""Yes"" if Jupiter Project's token ($JUP) is below $0.4000 (i.e. $0.3999 or less) 24 hours after token airdrop occurs. Otherwise, the market will resolve to ""No.""

The token airdrop is estimated to happen at 10am EST on January, 31st, 2024.

If JUP doesn't airdrop by February 29, 2024, 11:59 PM ET, this market will resolve to the top bracket (<$0.40).

The resolution source for this market will be a consensus of highly liquid price sources.",,True,2024-01-30T00:00:00Z,2024-01-30,,903366,jup-price-24hrs-after-airdrop,$JUP price 24hrs after airdrop?,False,2e+16,False,,True,False,,,,1.0,<$0.40,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/jupiter+logo.png,254219,https://polymarket-upload.s3.us-east-2.amazonaws.com/jupiter+logo.png,0.0,,9867.32656,0.0,0.0,9867.33,,,0.0,False,,,normal,True,0x2e0c8712dc5df6a4cda1a6282847427bf291df6506c988d77ec0fffd5ae6eb00,False,0x31e7a79534f6e206421aac09882f056b5e8628373841f918d74964dc7e54e862,True,True,0.0,0.0,0.0,0.0,0.0,5.0,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",False,False,Will JUP be below $0.40 one day after airdrop?,0x2e0c8712dc5df6a4cda1a6282847427bf291df6506c988d77ec0fffd5ae6eb00,False,,,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,0.0,0,False,0.0,,,,,will-jup-be-below-0pt40-one-day-after-airdrop,,,1.0,2024-01-30T20:25:00Z,,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,0.0,,,,,,,500.0,,,proposed,[],5.0,2024-02-02T17:45:48.551Z,15.0,,227091.413228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227091.41,227091.41,False,0.000000,1.000000,0.500000,Crypto,2.797347
