qid,question,outcome,domain,qtype,failure_mode,s2_p,s2_brier,s2_correct,round0_mean,round1_mean,round0_correct_agents,round1_correct_agents,round0_mean_correct,round1_mean_correct,round_mean_brier_delta,cot_p,cot_correct,cot_brier,standard_p,standard_correct,standard_brier,s1_p,s1_correct,s1_brier,moa_p,moa_correct,moa_brier
futurex_693fff9312fe99005df832b8,Will Guan Heng be deported from the US to China?,0,politics_geo,other_wording,final_correct,0.4023487282727358,0.1618844991426878,1,0.44333333333333336,0.4033333333333333,2,3,1,1,-0.03386666666666671,0.68,0,0.4624000000000001,0.3666666666666667,1,0.13444444444444448,0.41259143864250036,1,0.17023169524108814,0.68,0,0.4624000000000001
futurex_6947e88aa66250005c9dc324,2026 a dream year for trump?,0,politics_geo,other_wording,all_agents_wrong_from_start,0.6063069075409951,0.3676080661319248,0,0.62,0.6033333333333334,0,0,0,0,-0.020388888888888845,0.58,0,0.3364,0.61,0,0.3721,0.6218558089659801,0,0.38670464714473357,0.6,0,0.36
futurex_69493a091e67de005c79583b,Will Bugonia get an Oscar nomination for best picture?,1,media_entertainment,winner_outcome,final_correct,0.57,0.18490000000000004,1,0.5733333333333334,0.57,2,3,1,1,0.002855555555555611,0.78,1,0.04839999999999999,0.6433333333333334,1,0.12721111111111105,0.6403045624834864,1,0.12938080777019612,0.66,1,0.11559999999999998
futurex_694a8b8fbd65d70068ad7da2,“Inside CECOT” airs on 60 Minutes by January 18?,1,media_entertainment,deadline_event,final_correct,0.8597493400353822,0.019670247620510853,1,0.7666666666666666,0.8566666666666666,3,3,1,1,-0.0339,0.76,1,0.0576,0.9333333333333332,1,0.0044444444444444575,0.7734354250901914,1,0.05133150660406229,0.94,1,0.0036000000000000064
futurex_694bdd0b43684c005d3473e5,Will @bens puzzle (round 2) get below 10%?,0,other,threshold_range,all_agents_wrong_from_start,0.7443106383642416,0.5539983263821848,0,0.7833333333333333,0.7433333333333333,0,0,0,0,-0.061066666666666714,0.93,0,0.8649000000000001,0.26333333333333336,1,0.06934444444444446,0.8567455016565512,0,0.7340128546087356,0.91,0,0.8281000000000001
futurex_694d2e966344cf0067e820ae,"Will Alex Honnold successfully free solo Taipei 101 on January 23, 2026?",0,other,other_wording,all_agents_wrong_from_start,0.9540005565776002,0.9101170619503709,0,0.9566666666666667,0.9499999999999998,0,0,0,0,-0.01271111111111134,0.99,0,0.9801,0.91,0,0.8281000000000001,0.9621272482171961,0,0.9256888417619941,0.98,0,0.9603999999999999
futurex_694e8009028e36005d93d3c6,nasry Asfuras win overturned by a court?,0,sports,deadline_event,final_correct,0.07639831893420096,0.005836703135971889,1,0.13,0.07666666666666667,3,3,1,1,-0.011022222222222223,0.12,1,0.0144,0.12,1,0.0144,0.09996406619981511,1,0.009992814531201018,0.2,1,0.04000000000000001
futurex_694fd195ae81c200695c89be,Will Polo gram be revealed to be Marco's dad within 1 month,0,other,deadline_event,final_correct,0.07924572487775979,0.006279884911401596,1,0.09000000000000001,0.08,3,3,1,1,-0.001700000000000001,0.01,1,0.0001,0.8866666666666667,0,0.7861777777777779,0.05962809354947953,1,0.0035555095403454824,0.985,0,0.970225
futurex_6951230b943bd200688f9cd1,Will Pam Bondi be arrested over defying the Epstein Files Transparency Act,0,other,threshold_range,final_correct,0.010000000000000002,0.00010000000000000005,1,0.01,0.01,3,3,1,1,0.0,0.04,1,0.0016,0.016666666666666666,1,0.0002777777777777778,0.010000000000000002,1,0.00010000000000000005,0.02,1,0.0004
futurex_6956690920a2e600672a7865,"Before 24 January 2026, will Paramount Skydance (Paramount) increase its offer to pay $30.00 per share for outstanding Warner Bros. Discovery (Warner Bros.) shares?",0,other,deadline_event,debate_fixed,0.06300240395567189,0.003969302904193661,1,0.6466666666666666,0.06999999999999999,1,3,0,1,-0.4132777777777777,0.31,1,0.0961,0.06,1,0.0036,0.7479109654534152,0,0.5593708122454596,0.11,1,0.0121
futurex_6956690c20a2e600672a786b,Juventus beats SSC Napoli | Soccer Serie A match 25th Jan 2026,1,sports,other_wording,final_correct,0.5633926690821002,0.1906259614112525,1,0.5599999999999999,0.5599999999999999,3,3,1,1,0.0,0.54,1,0.21159999999999995,0.529,1,0.22184099999999998,0.5734636084404836,1,0.18193329332461308,0.54,1,0.21159999999999995
futurex_69566c1320a2e600672a798d,Will the Doomsday Clock move by ten seconds or more?,0,other,deadline_event,debate_erased_correct_minority,0.5897649056556021,0.3478226439429613,0,0.6033333333333333,0.5766666666666667,1,0,0,0,-0.03146666666666664,0.44,1,0.1936,0.22666666666666666,1,0.05137777777777777,0.7370780232238333,0,0.5432840123195538,0.43,1,0.18489999999999998
futurex_69590c18deacd00066876763,"Will Bitcoin close above USD $100,000 on 31 January 2026 (UTC)?",0,markets_finance_crypto,threshold_range,all_agents_wrong_from_start,0.5935864530188492,0.3523448772074984,0,0.6033333333333334,0.5933333333333333,0,0,0,0,-0.011966666666666792,0.68,0,0.4624000000000001,0.5833333333333334,0,0.34027777777777785,0.6347785013284899,0,0.4029437457488437,0.66,0,0.43560000000000004
futurex_69590c18deacd00066876764,Bitcoin below $82K in January?,1,markets_finance_crypto,threshold_range,final_correct,0.52875650004497,0.22207043624986636,1,0.5399999999999999,0.5166666666666667,2,2,1,1,0.02201111111111098,0.56,1,0.19359999999999997,0.49,0,0.2601,0.5521021978473212,1,0.20061244117320023,0.53,1,0.22089999999999999
futurex_695a5ee87b2e6a00694886d2,"Will thealignedapp.com have 100+ users by Jan 31, 2026?",0,other,deadline_event,final_correct,0.47000000000000003,0.22090000000000004,1,0.47000000000000003,0.47,2,3,1,1,-5.551115123125783e-17,0.63,0,0.39690000000000003,0.46,1,0.2116,0.4528710291949781,1,0.20509216908411873,0.61,0,0.3721
futurex_695baf2f8b62560069adcdd8,Will something CRAZY happen in January (again)?,0,other,other_wording,all_agents_wrong_from_start,0.6297553988721253,0.3965918624085896,0,0.6566666666666666,0.62,0,0,0,0,-0.046811111111111026,0.57,0,0.32489999999999997,0.4633333333333334,1,0.21467777777777783,0.6842859901924078,0,0.468247316373604,0.5,0,0.25
futurex_695bb4008b62560069adcdeb,Transgender women be banned from the Olympics before Winter Games?,0,other,deadline_event,final_correct,0.26652666018775184,0.07103646059083735,1,0.28,0.26666666666666666,3,3,1,1,-0.0072888888888889,0.12,1,0.0144,0.17,1,0.028900000000000006,0.27324305024516393,1,0.07466176450728118,0.16,1,0.0256
futurex_695d00ac4ef7b4005cb967ee,Will there be a surprising Best Picture nomination? (2026 Oscars),0,other,winner_outcome,all_agents_wrong_from_start,0.5594624844744043,0.31299827153427306,0,0.5733333333333334,0.5566666666666666,0,0,0,0,-0.01883333333333337,0.58,0,0.3364,0.6133333333333333,0,0.3761777777777777,0.5820503150790025,0,0.3387825692835661,0.56,0,0.31360000000000005
futurex_695e521c255b39006c58f5ae,A team from the NFC West will win Super Bowl LX,1,sports,winner_outcome,all_agents_wrong_from_start,0.27,0.5328999999999999,0,0.27,0.27,0,0,0,0,0.0,0.54,1,0.21159999999999995,0.34,0,0.4355999999999999,0.2625312365069633,0,0.5438601771279485,0.46,0,0.2916
futurex_695fa38ae56c28005d3c3234,Will Adrian Gonzales be found guilty in Uvalde school shooting response trial?,0,other,other_wording,all_agents_wrong_from_start,0.6448815312154201,0.4158721893027449,0,0.6233333333333333,0.64,0,0,0,0,0.021055555555555605,0.46,1,0.2116,0.6433333333333333,0,0.41387777777777773,0.6669371319287439,0,0.44480513794533877,0.97,0,0.9409
futurex_6963980d5a6f9800684ed65f,Will Maryland change its congressional voting map for the 2026 elections?,0,other,other_wording,debate_fixed,0.3782118997043448,0.1430442410779694,1,0.6066666666666666,0.39666666666666667,1,3,0,1,-0.2106999999999999,0.56,0,0.31360000000000005,0.39666666666666667,1,0.15734444444444445,0.7689759773689218,0,0.5913240537704885,0.74,0,0.5476
futurex_6963980d5a6f9800684ed66b,Will Indiana change its congressional voting map for the 2026 elections?,0,other,other_wording,debate_fixed,0.07217457587789271,0.005209169403153692,1,0.6433333333333333,0.07333333333333333,1,3,0,1,-0.4085,0.1,1,0.010000000000000002,0.06333333333333334,1,0.004011111111111112,0.781632294848728,0,0.6109490443504888,0.08,1,0.0064
futurex_6964e98652029b005bc00995,"Will the vice president of Sindnapi, Frei Chico, testify before the INSS CPMI?",0,politics_geo,deadline_event,final_correct,0.3309697990855918,0.10954100790675701,1,0.45,0.34,2,3,1,1,-0.08689999999999999,0.56,0,0.31360000000000005,0.38000000000000006,1,0.14440000000000006,0.4255353787278017,1,0.18108035854901366,0.29,1,0.0841
futurex_6964e98652029b005bc00997,Global presence of algae in coral reefs to increase in comparison to 2021?,1,other,other_wording,debate_erased_correct_minority,0.37194231070282247,0.39445646108531,0,0.48333333333333334,0.38000000000000006,1,0,0,0,0.11745555555555548,0.73,1,0.0729,0.64,1,0.1296,0.5673153855858962,1,0.18721597555068165,0.72,1,0.07840000000000001
futurex_6964e98652029b005bc009a2,Brazil in the top 10-20% countries in the 2026 Democracy Report ranking?,1,other,other_wording,final_correct,0.6516289809773113,0.12136236689490656,1,0.75,0.6466666666666666,3,3,1,1,0.06234444444444448,0.78,1,0.04839999999999999,0.33,0,0.4488999999999999,0.8091808786398276,1,0.03641193707666821,0.47,0,0.28090000000000004
futurex_6964e98652029b005bc009a4,Ecuador to improve its score in the 2026 Democracy Report ranking?,0,other,other_wording,final_correct,0.3551091939479566,0.12610253962636744,1,0.37999999999999995,0.3666666666666667,2,3,1,1,-0.009955555555555495,0.57,0,0.32489999999999997,0.4033333333333333,1,0.16267777777777775,0.2539439803439899,1,0.06448754515294873,0.54,0,0.2916
futurex_6964e98652029b005bc009a8,Will Arsenal win any major trophy in the 2025/2026 season?,1,sports,winner_outcome,final_correct,0.697263069791533,0.09164964891204624,1,0.6966666666666667,0.6966666666666667,3,3,1,1,0.0,0.61,1,0.1521,0.6966666666666667,1,0.09201111111111111,0.7032378479063618,1,0.08806777491524766,0.72,1,0.07840000000000001
futurex_6964e98652029b005bc009ae,Will Israel be excluded from Eurovision 2026?,0,politics_geo,other_wording,final_correct,0.28957043825186524,0.0838510387093773,1,0.2966666666666667,0.29,3,3,1,1,-0.003911111111111129,0.28,1,0.07840000000000001,0.27666666666666667,1,0.07654444444444444,0.29070364977495144,1,0.08450861199247763,0.31,1,0.0961
futurex_6964e98652029b005bc009af,Will Neymar play at least one match at the 2026 FIFA World Cup?,1,sports,threshold_range,final_correct,0.8668365976707371,0.01773249171990515,1,0.8433333333333334,0.8666666666666667,3,3,1,1,-0.00676666666666666,0.74,1,0.06760000000000001,0.77,1,0.05289999999999999,0.8644654499034857,1,0.018369614269864536,0.79,1,0.044099999999999986
futurex_6964e98652029b005bc009b0,Will Neymar be called up for the 2026 FIFA World Cup?,1,sports,other_wording,final_correct,0.6578296185320057,0.11708056995395272,1,0.7000000000000001,0.6566666666666667,3,3,1,1,0.02787777777777778,0.66,1,0.11559999999999998,0.7433333333333333,1,0.0658777777777778,0.727415544294389,1,0.07430228549232419,0.72,1,0.07840000000000001
futurex_6964e98652029b005bc009b3,"Will Ronaldo Caiado be confirmed as a presidential pre-candidate in Brazil by May 1, 2026?",1,other,deadline_event,final_correct,0.987701378358786,0.00015125609427373685,1,0.9566666666666667,0.9866666666666667,3,3,1,1,-0.0017000000000000008,0.97,1,0.0009000000000000016,0.9866666666666667,1,0.0001777777777777771,0.9671898894290172,1,0.0010765033556801185,0.98,1,0.0004000000000000007
futurex_6964e98952029b005bc009b6,The No-Bots Market. Which side will be automated-bots-free market close?,1,markets_finance_crypto,other_wording,debate_erased_correct_minority,0.3864521813056167,0.3764409258246358,0,0.4266666666666667,0.3866666666666667,1,0,0,0,0.04746666666666671,0.24,0,0.5776,0.84,1,0.02560000000000001,0.3948292968604922,0,0.3662315799383663,0.16,0,0.7055999999999999
futurex_6964e98952029b005bc009c2,RAS2026: Will One Battle After Another gather more Oscars nominations than Marty Supreme?,1,other,other_wording,final_correct,0.6515738761230213,0.1214007637999357,1,0.59,0.65,3,3,1,1,-0.04560000000000004,0.63,1,0.1369,0.69,1,0.09610000000000003,0.5955240534265365,1,0.16360079135649933,0.71,1,0.08410000000000002
futurex_6968de07e7876e006835e6b3,Will the US Storm Prediction Center issue a Tornado Watch between 12:00 am EST 1/18/26 and 11:59 pm EST 1/24/26?,0,other,other_wording,all_agents_wrong_from_start,0.5924508535026061,0.3509980138159664,0,0.6233333333333333,0.5733333333333334,0,0,0,0,-0.059833333333333294,0.64,0,0.4096,0.47333333333333333,1,0.22404444444444443,0.6669371319287439,0,0.44480513794533877,0.49,1,0.24009999999999998
futurex_6968de07e7876e006835e6b8,Will they pull a Nasrallah on Khamenei by end of January 2025?,0,other,deadline_event,final_correct,0.019999999999999993,0.00039999999999999975,1,0.02,0.02,3,3,1,1,0.0,0.07,1,0.004900000000000001,0.03,1,0.0009,0.017273312917055948,1,0.00029836733913053183,0.055,1,0.003025
futurex_696e274d183bed0068c24d04,North Korea missile launch by January 31?,1,tech_ai_product,deadline_event,final_correct,0.690448686635387,0.0958220156057568,1,0.68,0.69,3,3,1,1,-0.006299999999999931,0.86,1,0.019600000000000003,0.7066666666666667,1,0.08604444444444445,0.6959357438537767,1,0.09245507186575612,0.71,1,0.08410000000000002
futurex_6972189f11cfd2006997647f,"New METR SOTA by end of January, 2026?",1,other,deadline_event,debate_erased_correct_minority,0.31049504539761874,0.4754170824212318,0,0.36333333333333334,0.3133333333333333,1,0,0,0,0.0661666666666667,0.61,1,0.1521,0.30333333333333334,0,0.4853444444444444,0.23911814815468654,0,0.5789411924675535,0.31,0,0.4760999999999999
futurex_6974bba3b31670005dd8d70f,Will Dave Cole get angry at any KOH 26 Driver's meetings?,0,other,other_wording,final_correct,0.16227608385406794,0.026333527391012492,1,0.18666666666666668,0.16333333333333333,3,3,1,1,-0.008166666666666673,0.53,0,0.28090000000000004,0.24333333333333332,1,0.0592111111111111,0.11284076493854052,1,0.012733038231914955,0.27,1,0.0729
futurex_69775e8a96e2d900674cdd4a,Will the Seahawks beat the Patriots in the 2026 Superbowl?,1,other,winner_outcome,final_correct,0.6379486393224164,0.13108118776848973,1,0.6266666666666666,0.6366666666666667,3,3,1,1,-0.0073666666666667435,0.63,1,0.1369,0.58,1,0.17640000000000003,0.6664238873869154,1,0.11127302290605731,0.62,1,0.1444
futurex_6978b007edd409005eef0fa3,"Will ""Mortal Kombat II "" have a Rotten Tomatoes score above 79%?",0,other,threshold_range,final_correct,0.04625073692406639,0.0021391306660191976,1,0.049999999999999996,0.04666666666666667,3,3,1,1,-0.0003222222222222216,0.2,1,0.04000000000000001,0.06666666666666667,1,0.0044444444444444444,0.04333820754045049,1,0.0018782002328191594,0.16,1,0.0256
futurex_697a0186aaa579005fb3a50c,"Will Gustavo Petro stay in the U.S. longer than 5 consecutive days starting Feb 3, 2026?",0,other,other_wording,final_correct,0.14228503611123222,0.020245031501174657,1,0.3566666666666667,0.14666666666666667,2,3,1,1,-0.10570000000000002,0.17,1,0.028900000000000006,0.13333333333333333,1,0.017777777777777778,0.247005509089504,1,0.06101172152056504,0.18,1,0.0324
futurex_6981ea9930057a005cdb9e46,"Will global platinum availability fall below 2 million ounces by March 4, 2026, due to South African mine supply issues?",0,other,threshold_range,final_correct,0.06000000000000001,0.003600000000000001,1,0.08333333333333333,0.06,3,3,1,1,-0.003344444444444444,0.22,1,0.0484,0.09666666666666666,1,0.009344444444444443,0.07883954155748166,1,0.006215673312993877,0.19,1,0.0361
futurex_6981ea9930057a005cdb9e47,Will Nornickel's palladium production fall below 2.4 million ounces in 2026?,0,other,threshold_range,all_agents_wrong_from_start,0.710894736852659,0.5053713268848113,0,0.7266666666666666,0.6633333333333333,0,0,0,0,-0.08803333333333319,0.89,0,0.7921,0.7033333333333333,0,0.49467777777777766,0.7781991837378778,0,0.6055939695702992,0.86,0,0.7395999999999999
futurex_6981ea9930057a005cdb9e49,Is the shrinking cut-off in Diamond League fully intentional?,0,other,other_wording,all_agents_wrong_from_start,0.8138992106881627,0.6624319251588143,0,0.7533333333333333,0.8133333333333334,0,0,0,0,0.09400000000000008,0.82,0,0.6723999999999999,0.85,0,0.7224999999999999,0.7570779364714151,0,0.573167001891816,0.84,0,0.7055999999999999
futurex_6987308956940e0068395804,Will a NON mercedes engine car win the 2026 Formula 1 Australian Grand Prix?,0,sports,winner_outcome,all_agents_wrong_from_start,0.6598201438729608,0.43536262226053474,0,0.6466666666666666,0.6566666666666667,0,0,0,0,0.013033333333333508,0.52,0,0.27040000000000003,0.7600000000000001,0,0.5776000000000002,0.6726742859145354,0,0.4524906949306301,0.61,0,0.3721
futurex_698b2507175d47006853871b,Will the Nepali Congress party win the most seats in the 2026 Nepali House of Representatives elections?,0,sports,winner_outcome,final_correct,0.4023487282727358,0.1618844991426878,1,0.41,0.4033333333333333,3,3,1,1,-0.005422222222222217,0.46,1,0.2116,0.37666666666666665,1,0.14187777777777777,0.40297776825667053,1,0.16239108170912686,0.5,0,0.25
futurex_698b2507175d47006853871c,"Before 7 March 2026, will an NHL team other than the Pittsburgh Penguins publicly announce or acknowledge that Sidney Crosby will join its roster as a player eligible for the playoffs of the 2025/26 NHL season?",0,sports,deadline_event,final_correct,0.04625073692406639,0.0021391306660191976,1,0.06333333333333334,0.04666666666666667,3,3,1,1,-0.001833333333333334,0.11,1,0.0121,0.08,1,0.0064,0.053548013664472136,1,0.0028673897674104947,0.11,1,0.0121
